"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          65,      -4.760156953,      -4.647207575,      -4.833669994,      -4.030972413,      -10.89681919,    0.003658376638,    -0.01611403363,                 0,                 0,                 0,     0.08544923112,     0.00309377639,     -0.0162318929,                 0,      -4.404695095,    0.001452027678
          66,      -4.795069755,      -4.697524977,      -4.883433265,      -4.078069417,      -10.87458064,    0.005345203026,    -0.01645232242,                 0,                 0,                 0,     0.08500104225,      0.0047677691,    -0.01662884501,                 0,      -3.077960247,    0.001452027678
          67,      -4.816332156,      -4.744845167,      -4.915399286,      -4.107443452,      -10.86986526,    0.006405011228,    -0.01672432185,                 0,                 0,                 0,     0.08474538602,    0.005817439053,    -0.01693766551,                 0,      -2.611130762,    0.001452027678
          68,      -4.840072477,        -4.7930589,      -4.941426698,      -4.138896999,      -10.84945913,    0.008082340322,    -0.01716079864,                 0,                 0,                 0,      0.0844313554,    0.007478513543,    -0.01743241435,                 0,      -2.123246233,    0.001452027678
          69,      -4.849369811,      -4.837678247,      -4.943162585,      -4.149363353,      -10.83952978,    0.009113921768,    -0.01745660505,                 0,                 0,                 0,     0.08427676377,    0.008499143083,    -0.01776404224,                 0,      -1.915377978,    0.001452027678
          70,      -4.867185521,      -4.878774559,      -4.953891843,      -4.169676027,      -10.81954865,     0.01069949088,    -0.01787890797,                 0,                 0,                 0,     0.08414142698,     0.01006900815,    -0.01824142347,                 0,      -1.671005486,    0.001452027678
          71,      -4.872774071,      -4.907833158,      -4.948212763,      -4.169960117,      -10.80471729,     0.01165408457,    -0.01815291344,                 0,                 0,                 0,     0.08410756464,     0.01101345767,    -0.01854857686,                 0,      -1.557643874,    0.001452027678
          72,      -4.892672144,      -4.933354343,        -4.9622762,      -4.189223812,      -10.78464162,     0.01308843754,    -0.01853240413,                 0,                 0,                 0,     0.08416109771,     0.01243369284,    -0.01897789458,                 0,      -1.415937088,    0.001452027678
          73,      -4.904425283,      -4.937873043,      -4.966986879,      -4.192681422,      -10.76594753,     0.01393708572,    -0.01878554346,                 0,                 0,                 0,     0.08424314395,     0.01327298961,    -0.01926049709,                 0,      -1.347881748,    0.001452027678
          74,      -4.930724767,      -4.951388923,       -4.99242801,       -4.21821835,      -10.74889287,     0.01474105404,    -0.01902524628,                 0,                 0,                 0,     0.08436049293,     0.01406810267,    -0.01952811198,                 0,       -1.29062998,    0.001452027678
          75,      -4.957879221,      -4.961600665,      -5.022624784,      -4.245786212,      -10.73195762,     0.01549853819,    -0.01927557909,                 0,                 0,                 0,     0.08450316227,     0.01481638889,    -0.01980472811,                 0,      -1.243703042,    0.001452027678
          76,      -4.985026484,      -4.970403985,      -5.056111651,      -4.273973967,      -10.71537366,      0.0162109385,    -0.01954734984,                 0,                 0,                 0,      0.0846637593,     0.01551887057,    -0.02010119571,                 0,      -1.205812349,    0.001452027678
          77,      -5.011829959,      -4.979505019,      -5.090885181,      -4.302372166,      -10.70063938,     0.01664737614,     -0.0197480962,                 0,                 0,                 0,     0.08477629869,     0.01594803639,    -0.02031705125,                 0,      -1.186258785,    0.001452027678
          78,      -5.040602448,      -4.999712365,      -5.129093879,      -4.338102674,       -10.6871578,     0.01734881598,    -0.02009263506,                 0,                 0,                 0,     0.08496225102,      0.0166370247,    -0.02068586012,                 0,      -1.158155985,    0.001452027678
          79,      -5.061777671,      -5.006979843,      -5.160326201,      -4.360693178,      -10.67240635,     0.01777939068,     -0.0203562637,                 0,                 0,                 0,     0.08508551625,      0.0170581366,      -0.020964355,                 0,      -1.144935958,    0.001452027678
          80,      -5.084618809,      -5.025922497,      -5.191693137,      -4.389265497,      -10.65963795,     0.01846338882,    -0.02079744814,                 0,                 0,                 0,     0.08528076991,     0.01772632095,    -0.02142914187,                 0,      -1.126415543,    0.001452027678
          81,      -5.099245074,      -5.035385149,      -5.211613113,      -4.404393939,      -10.64473693,     0.01888531858,    -0.02113433892,                 0,                 0,                 0,     0.08540509882,     0.01813623637,    -0.02178055257,                 0,      -1.119088292,    0.001452027678
          82,       -5.11697539,      -5.055485342,      -5.233292873,      -4.426736448,      -10.63249921,     0.01955427676,     -0.0216917252,                 0,                 0,                 0,     0.08559790091,     0.01878533454,     -0.0223609456,                 0,      -1.109308488,    0.001452027678
          83,      -5.125250979,      -5.068339999,      -5.241529069,      -4.434339418,       -10.6173564,     0.01996585384,    -0.02209810517,                 0,                 0,                 0,     0.08572095481,     0.01918247843,    -0.02278144186,                 0,      -1.106794899,    0.001452027678
          84,      -5.139312384,      -5.089393147,      -5.256723356,      -4.451781302,      -10.60533093,     0.02061288678,    -0.02275101052,                 0,                 0,                 0,      0.0859171924,     0.01980633115,    -0.02345653059,                 0,      -1.103727525,    0.001452027678
          85,      -5.143651294,      -5.104257431,      -5.259176471,      -4.453778205,      -10.58985316,      0.0210087645,    -0.02321932483,                 0,                 0,                 0,     0.08604542453,     0.02018562378,    -0.02393837555,                 0,      -1.105220863,    0.002197594666
          86,      -5.156434945,      -5.125686634,      -5.273348602,       -4.46894864,      -10.57788929,     0.02162393657,    -0.02394821016,                 0,                 0,                 0,     0.08626284984,     0.02077498337,    -0.02468828606,                 0,      -1.107486145,    0.002197594666
          87,      -5.159290412,      -5.141748569,      -5.275608423,      -4.468519458,      -10.56229053,     0.02199571243,    -0.02444731333,                 0,                 0,                 0,       0.086413803,     0.02112911431,    -0.02520005998,                 0,      -1.111458127,    0.002197594666
          88,      -5.172107618,      -5.164161813,      -5.292214571,      -4.483614811,      -10.55088698,     0.02235726811,    -0.02494042003,                 0,                 0,                 0,     0.08657666195,     0.02147324056,     -0.0257054844,                 0,      -1.115539694,    0.002197594666
          89,      -5.183820842,      -5.186981204,      -5.310950277,      -4.498176871,      -10.53986362,     0.02270457086,    -0.02542887869,                 0,                 0,                 0,      0.0867520945,     0.02180328478,     -0.0262057662,                 0,        -1.1199894,    0.002197594666
          90,      -5.194379968,      -5.210214865,      -5.330461003,      -4.511489239,       -10.5292314,     0.02303427206,    -0.02590486472,                 0,                 0,                 0,     0.08694123566,     0.02211617346,    -0.02669296867,                 0,      -1.124622677,    0.002197594666
          91,      -5.204259879,      -5.233957379,      -5.349159618,      -4.523770046,      -10.51901225,     0.02334547277,    -0.02636992012,                 0,                 0,                 0,      0.0871429923,      0.0224109544,    -0.02716860152,                 0,      -1.129551771,    0.002197594666
