Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
952,0.632241,0,1.74974,-736.348,1.21164e-07,0,0,0,0,0,0,0.257958,-0.0595902,0,0.264751,0.699895,-0.577471,0.00421383,-8.73096e-05,0,0.00421474,1.11974,1.50628
953,0.631607,0,1.74795,-735.107,1.21163e-07,0,0,0,0,0,0,0.259317,-0.0596179,0,0.266082,0.699181,-0.578899,0.00421009,-8.40773e-05,0,0.00421093,1.11972,1.50487
954,0.630986,0,1.7462,-733.863,1.21161e-07,0,0,0,0,0,0,0.260677,-0.0596445,0,0.267413,0.69848,-0.580301,0.00420627,-8.0869e-05,0,0.00420705,1.1197,1.50346
955,0.630376,0,1.74448,-732.542,1.21159e-07,0,0,0,0,0,0,0.262036,-0.0596702,0,0.268744,0.697793,-0.581675,0.00420228,-7.76862e-05,0,0.004203,1.11968,1.50203
956,0.629785,0,1.74282,-731.158,1.21158e-07,0,0,0,0,0,0,0.263396,-0.0596948,0,0.270076,0.697128,-0.583006,0.0041982,-7.45306e-05,0,0.00419886,1.11966,1.5006
957,0.629209,0,1.7412,-729.741,1.21156e-07,0,0,0,0,0,0,0.264755,-0.0597184,0,0.271407,0.69648,-0.584302,0.00419407,-7.14034e-05,0,0.00419468,1.11964,1.49919
958,0.628648,0,1.73962,-728.403,1.21155e-07,0,0,0,0,0,0,0.266115,-0.0597411,0,0.272738,0.695847,-0.585567,0.00419011,-6.83079e-05,0,0.00419067,1.11962,1.49782
959,0.628088,0,1.73804,-727.209,1.21154e-07,0,0,0,0,0,0,0.267474,-0.0597628,0,0.274069,0.695217,-0.586827,0.00418637,-6.52447e-05,0,0.00418688,1.11961,1.49649
960,0.62752,0,1.73644,-726.202,1.21152e-07,0,0,0,0,0,0,0.268834,-0.0597835,0,0.275401,0.694578,-0.588106,0.00418306,-6.22164e-05,0,0.00418352,1.11959,1.49523
961,0.626948,0,1.73483,-725.251,1.21151e-07,0,0,0,0,0,0,0.270193,-0.0598032,0,0.276733,0.693933,-0.589396,0.00417993,-5.92183e-05,0,0.00418035,1.11957,1.494
962,0.626373,0,1.73321,-724.321,1.21149e-07,0,0,0,0,0,0,0.271553,-0.059822,0,0.278064,0.693285,-0.590692,0.00417687,-5.62486e-05,0,0.00417725,1.11955,1.49278
963,0.625795,0,1.73158,-723.483,1.21147e-07,0,0,0,0,0,0,0.272913,-0.0598398,0,0.279396,0.692632,-0.591997,0.00417399,-5.33081e-05,0,0.00417433,1.11953,1.49159
964,0.625206,0,1.72992,-722.802,1.21146e-07,0,0,0,0,0,0,0.274272,-0.0598567,0,0.280728,0.691968,-0.593325,0.00417146,-5.03971e-05,0,0.00417177,1.11951,1.49045
965,0.62461,0,1.72824,-722.141,1.21144e-07,0,0,0,0,0,0,0.275632,-0.0598727,0,0.28206,0.691296,-0.59467,0.00416901,-4.75101e-05,0,0.00416929,1.11949,1.48932
966,0.624015,0,1.72656,-721.261,1.21142e-07,0,0,0,0,0,0,0.276991,-0.0598877,0,0.283392,0.690624,-0.596014,0.00416615,-4.46411e-05,0,0.00416639,1.11947,1.48811
967,0.623437,0,1.72493,-720.344,1.21141e-07,0,0,0,0,0,0,0.278351,-0.0599018,0,0.284724,0.689971,-0.597319,0.00416324,-4.17947e-05,0,0.00416345,1.11945,1.48692
968,0.622861,0,1.72331,-719.409,1.21139e-07,0,0,0,0,0,0,0.279711,-0.059915,0,0.286056,0.689322,-0.598617,0.00416026,-3.89707e-05,0,0.00416045,1.11943,1.48572
969,0.622292,0,1.7217,-718.536,1.21137e-07,0,0,0,0,0,0,0.28107,-0.0599273,0,0.287388,0.68868,-0.599901,0.00415739,-3.61707e-05,0,0.00415755,1.11941,1.48454
970,0.621721,0,1.72009,-717.745,1.21136e-07,0,0,0,0,0,0,0.28243,-0.0599387,0,0.28872,0.688035,-0.601191,0.00415467,-3.33949e-05,0,0.00415481,1.11939,1.48339
971,0.621148,0,1.71847,-716.971,1.21134e-07,0,0,0,0,0,0,0.28379,-0.0599491,0,0.290052,0.687389,-0.602483,0.00415198,-3.06419e-05,0,0.00415209,1.11937,1.48224
972,0.620577,0,1.71686,-716.14,1.21132e-07,0,0,0,0,0,0,0.285149,-0.0599587,0,0.291385,0.686745,-0.603772,0.00414919,-2.79108e-05,0,0.00414928,1.11935,1.48108
973,0.620012,0,1.71527,-715.269,1.21131e-07,0,0,0,0,0,0,0.286509,-0.0599674,0,0.292717,0.686107,-0.605047,0.00414635,-2.5202e-05,0,0.00414643,1.11933,1.47992
974,0.619453,0,1.71369,-714.453,1.21129e-07,0,0,0,0,0,0,0.287869,-0.0599753,0,0.29405,0.685477,-0.606308,0.0041436,-2.25139e-05,0,0.00414367,1.11931,1.47878
975,0.61889,0,1.7121,-713.712,1.21128e-07,0,0,0,0,0,0,0.289228,-0.0599822,0,0.295383,0.684842,-0.607579,0.00414103,-1.98422e-05,0,0.00414107,1.11929,1.47766
976,0.618329,0,1.71052,-712.988,1.21126e-07,0,0,0,0,0,0,0.290588,-0.0599883,0,0.296715,0.684208,-0.608846,0.00413845,-1.7184e-05,0,0.00413849,1.11927,1.47655
977,0.617765,0,1.70893,-712.225,1.21124e-07,0,0,0,0,0,0,0.291948,-0.0599935,0,0.298048,0.683572,-0.610118,0.00413581,-1.45388e-05,0,0.00413583,1.11925,1.47543
978,0.617209,0,1.70736,-711.378,1.21123e-07,0,0,0,0,0,0,0.293307,-0.0599978,0,0.299381,0.682944,-0.611374,0.00413304,-1.19067e-05,0,0.00413306,1.11923,1.47429
